x,y,theta
5.9897,-2.57965,-1.06
6.00437,-2.60582,-1.08
6.01851,-2.63228,-1.10001
6.03211,-2.65901,-1.12001
6.04518,-2.68602,-1.10001
6.05879,-2.71275,-1.12001
6.07186,-2.73976,-1.10001
6.08547,-2.76649,-1.12001
6.09854,-2.7935,-1.10001
6.11215,-2.82023,-1.12001
6.12522,-2.84724,-1.10001
6.13883,-2.87397,-1.12001
6.1519,-2.90098,-1.10001
6.16551,-2.92771,-1.12001
6.17858,-2.95472,-1.10001
6.19219,-2.98145,-1.12001
6.20526,-3.00846,-1.10001
6.21886,-3.03519,-1.12001
6.23193,-3.0622,-1.10001
6.24554,-3.08893,-1.12001
6.25861,-3.11594,-1.10001
6.27222,-3.14267,-1.12001
6.28529,-3.16968,-1.10001
6.2989,-3.19641,-1.12001
6.31197,-3.22342,-1.10001
6.32558,-3.25015,-1.12001
6.33865,-3.27716,-1.10001
6.35225,-3.30389,-1.12001
6.36532,-3.3309,-1.11818
6.37844,-3.35788,-1.13818
6.39102,-3.38511,-1.11818
6.40414,-3.41209,-1.13818
6.41672,-3.43933,-1.11844
6.42983,-3.46631,-1.13844
6.4424,-3.49355,-1.11936
6.45549,-3.52054,-1.13936
6.46804,-3.54779,-1.12089
6.48108,-3.57481,-1.14089
6.49358,-3.60208,-1.16088
6.50554,-3.62959,-1.18088
6.51694,-3.65734,-1.16088
6.5289,-3.68486,-1.18088
6.5403,-3.7126,-1.16088
6.55226,-3.74012,-1.18088
6.56366,-3.76787,-1.16088
6.57562,-3.79538,-1.18088
6.58702,-3.82313,-1.16088
6.59898,-3.85065,-1.18088
6.61038,-3.87839,-1.16088
6.62234,-3.90591,-1.18088
6.63374,-3.93366,-1.16088
6.6457,-3.96117,-1.18088
6.6571,-3.98892,-1.16088
6.66905,-4.01643,-1.18088
6.68046,-4.04418,-1.16088
6.69241,-4.0717,-1.18088
6.70382,-4.09945,-1.16088
6.71577,-4.12696,-1.18088
6.72718,-4.15471,-1.16088
6.73913,-4.18222,-1.18088
6.75053,-4.20997,-1.16088
6.76249,-4.23749,-1.18088
6.77389,-4.26523,-1.16088
6.78585,-4.29275,-1.18088
6.79725,-4.3205,-1.16088
6.80921,-4.34801,-1.18088
6.82061,-4.37576,-1.16088
6.83257,-4.40327,-1.18088
6.84397,-4.43102,-1.16088
6.85593,-4.45854,-1.18088
6.86733,-4.48629,-1.16088
6.87929,-4.5138,-1.18088
6.89069,-4.54155,-1.16088
6.90265,-4.56906,-1.18088
6.91405,-4.59681,-1.16088
6.926,-4.62433,-1.18088
6.93741,-4.65207,-1.16088
6.94936,-4.67959,-1.18088
6.96077,-4.70734,-1.16088
6.97272,-4.73485,-1.18088
6.98413,-4.7626,-1.16088
6.99608,-4.79012,-1.18088
7.00748,-4.81786,-1.16092
7.01944,-4.84538,-1.18092
7.03084,-4.87313,-1.20092
7.04169,-4.9011,-1.22092
7.05197,-4.92928,-1.24092
7.06169,-4.95766,-1.26092
7.07084,-4.98623,-1.28092
7.07941,-5.01498,-1.30092
7.08741,-5.0439,-1.32092
7.09483,-5.07296,-1.34092
7.10167,-5.10218,-1.36092
7.10792,-5.13152,-1.38092
7.11358,-5.16098,-1.40092
7.11865,-5.19055,-1.42092
7.12313,-5.22021,-1.44092
7.12701,-5.24996,-1.46092
7.1303,-5.27978,-1.48092
7.133,-5.30966,-1.48906
7.13545,-5.33956,-1.50906
7.1373,-5.3695,-1.48906
7.13975,-5.3994,-1.50906
7.1416,-5.42934,-1.48906
7.14405,-5.45924,-1.50906
7.1459,-5.48919,-1.48906
7.14835,-5.51909,-1.50906
7.1502,-5.54903,-1.48906
7.15265,-5.57893,-1.50906
7.1545,-5.60887,-1.48906
7.15695,-5.63877,-1.50906
7.1588,-5.66871,-1.48906
7.16125,-5.69861,-1.50906
7.1631,-5.72856,-1.48906
7.16555,-5.75846,-1.50906
7.1674,-5.7884,-1.48906
7.16985,-5.8183,-1.50906
7.1717,-5.84824,-1.48906
7.17415,-5.87814,-1.50906
7.176,-5.90808,-1.48906
7.17845,-5.93798,-1.50906
7.1803,-5.96793,-1.48906
7.18275,-5.99783,-1.50906
7.1846,-6.02777,-1.48906
7.18705,-6.05767,-1.50906
7.1889,-6.08761,-1.48906
7.19135,-6.11751,-1.50906
7.1932,-6.14746,-1.48906
7.19565,-6.17736,-1.50906
7.1975,-6.2073,-1.48906
7.19995,-6.2372,-1.50906
7.2018,-6.26714,-1.48906
7.20425,-6.29704,-1.50906
7.2061,-6.32698,-1.48906
7.20855,-6.35688,-1.50906
7.2104,-6.38683,-1.48906
7.21285,-6.41673,-1.50906
7.2147,-6.44667,-1.48906
7.21715,-6.47657,-1.50906
7.219,-6.50651,-1.48906
7.22145,-6.53641,-1.50906
7.2233,-6.56635,-1.48906
7.22575,-6.59625,-1.50906
7.2276,-6.6262,-1.48906
7.23005,-6.6561,-1.50906
7.2319,-6.68604,-1.48906
7.23435,-6.71594,-1.50906
7.2362,-6.74588,-1.48906
7.23865,-6.77578,-1.50906
7.2405,-6.80572,-1.48906
7.24295,-6.83562,-1.50906
7.2448,-6.86557,-1.48906
7.24725,-6.89547,-1.50906
7.2491,-6.92541,-1.48906
7.25155,-6.95531,-1.50906
7.2534,-6.98525,-1.48906
7.25585,-7.01515,-1.50906
7.2577,-7.0451,-1.48906
7.26015,-7.075,-1.50906
7.262,-7.10494,-1.48906
7.26445,-7.13484,-1.50906
7.2663,-7.16478,-1.48906
7.26875,-7.19468,-1.50906
7.2706,-7.22462,-1.48906
7.27305,-7.25452,-1.50906
7.2749,-7.28447,-1.48906
7.27735,-7.31437,-1.50906
7.2792,-7.34431,-1.48906
7.28165,-7.37421,-1.50906
7.2835,-7.40415,-1.48906
7.28595,-7.43405,-1.50906
7.2878,-7.46399,-1.48906
7.29025,-7.49389,-1.50906
7.2921,-7.52384,-1.48906
7.29455,-7.55374,-1.50906
7.2964,-7.58368,-1.48906
7.29885,-7.61358,-1.50906
7.30071,-7.64353,-1.48906
7.30315,-7.67343,-1.50906
7.30501,-7.70338,-1.48906
7.30746,-7.73328,-1.50906
7.30931,-7.76322,-1.48906
7.31176,-7.79312,-1.50906
7.31361,-7.82307,-1.48906
7.31606,-7.85297,-1.50906
7.31791,-7.88291,-1.48906
7.32036,-7.91282,-1.50906
7.32221,-7.94276,-1.48906
7.32466,-7.97266,-1.50906
7.32651,-8.00261,-1.48906
7.32896,-8.03251,-1.50906
7.33081,-8.06245,-1.48906
7.33326,-8.09235,-1.50906
7.33511,-8.1223,-1.48906
7.33756,-8.1522,-1.50906
7.33941,-8.18214,-1.48906
7.34186,-8.21204,-1.50906
7.34371,-8.24199,-1.48906
7.34616,-8.27189,-1.50906
7.34801,-8.30183,-1.48906
7.35046,-8.33173,-1.50906
7.35231,-8.36168,-1.48906
7.35476,-8.39158,-1.50906
7.35661,-8.42152,-1.48906
7.35906,-8.45142,-1.50906
7.36091,-8.48137,-1.48906
7.36336,-8.51127,-1.50906
7.36521,-8.54121,-1.48906
7.36766,-8.57111,-1.50906
7.36951,-8.60106,-1.48906
7.37196,-8.63096,-1.50906
7.37381,-8.6609,-1.48906
7.37626,-8.6908,-1.50906
7.37811,-8.72074,-1.48906
7.38056,-8.75065,-1.50906
7.38241,-8.78059,-1.48906
7.38486,-8.81049,-1.50906
7.38671,-8.84043,-1.48906
7.38916,-8.87034,-1.50906
7.39101,-8.90028,-1.48906
7.39346,-8.93018,-1.50906
7.39531,-8.96012,-1.48906
7.39776,-8.99003,-1.50906
7.39961,-9.01997,-1.48906
7.40206,-9.04987,-1.50906
7.40391,-9.07982,-1.48906
7.40636,-9.10972,-1.50906
7.40821,-9.13966,-1.48906
7.41066,-9.16956,-1.50906
7.41251,-9.1995,-1.48906
7.41496,-9.2294,-1.50906
7.41681,-9.25934,-1.48906
7.41926,-9.28924,-1.50906
7.42111,-9.31919,-1.48906
7.42356,-9.34909,-1.50906
7.42541,-9.37903,-1.48906
7.42786,-9.40893,-1.50906
7.42971,-9.43887,-1.48906
7.43216,-9.46877,-1.50906
7.43401,-9.49872,-1.48906
7.43646,-9.52862,-1.50906
7.43831,-9.55856,-1.48906
7.44076,-9.58846,-1.50906
7.44261,-9.6184,-1.48906
7.44506,-9.6483,-1.50906
7.44691,-9.67824,-1.48906
7.44936,-9.70814,-1.50906
7.45122,-9.73809,-1.48906
7.45366,-9.76799,-1.50906
7.45552,-9.79793,-1.48906
7.45796,-9.82783,-1.50906
7.45982,-9.85777,-1.48906
7.46226,-9.88767,-1.50906
7.46412,-9.91761,-1.48906
7.46656,-9.94751,-1.50906
7.46842,-9.97746,-1.48906
